level;test_classes;test_methods;setup_methods;attributes;total_statements;duplicated_statements;duplication_rate
1;364;364;0;0;3703;3104;83.8
2;363;364;1;2;3701;3100;83.8
3;362;364;2;8;3695;3088;83.6
4;361;364;2;8;3689;3082;83.5
5;360;364;2;8;3683;3076;83.5
6;359;364;2;8;3677;3070;83.5
7;358;364;2;8;3671;3064;83.5
8;357;364;3;21;3658;3039;83.1
9;356;364;4;36;3643;3009;82.6
10;355;364;5;43;3636;3002;82.6
11;354;364;6;49;3630;2994;82.5
12;353;364;7;53;3626;2990;82.5
13;352;364;8;66;3613;2977;82.4
14;351;364;9;80;3599;2963;82.3
15;350;364;10;93;3586;2949;82.2
16;349;364;11;101;3578;2941;82.2
17;348;364;12;105;3574;2935;82.1
18;347;364;13;116;3563;2919;81.9
19;346;364;13;116;3552;2908;81.9
20;345;364;13;116;3541;2897;81.8
21;344;364;14;131;3526;2879;81.7
22;343;364;15;142;3515;2867;81.6
23;342;364;16;153;3504;2856;81.5
24;341;364;17;156;3501;2852;81.5
25;340;364;18;158;3499;2851;81.5
26;339;364;19;159;3498;2849;81.4
27;338;364;19;159;3497;2848;81.4
28;337;364;19;159;3496;2847;81.4
29;336;364;19;159;3495;2846;81.4
30;335;364;19;159;3494;2845;81.4
31;334;364;20;160;3493;2843;81.4
32;333;364;20;160;3492;2842;81.4
33;332;364;20;160;3491;2841;81.4
34;331;364;21;161;3490;2839;81.3
35;330;364;21;161;3489;2838;81.3
36;329;364;21;161;3474;2823;81.3
37;328;364;21;161;3459;2808;81.2
38;327;364;21;161;3444;2793;81.1
39;326;364;21;161;3429;2780;81.1
40;325;364;21;161;3414;2765;81.0
41;324;364;21;161;3399;2750;80.9
42;323;364;21;161;3384;2735;80.8
43;322;364;21;161;3369;2722;80.8
44;321;364;22;175;3355;2707;80.7
45;320;364;22;175;3341;2693;80.6
46;319;364;22;175;3327;2681;80.6
47;318;364;23;188;3314;2668;80.5
48;317;364;22;174;3302;2656;80.4
49;316;364;22;174;3289;2643;80.4
50;315;364;23;192;3267;2616;80.1
51;314;364;24;210;3246;2594;79.9
52;313;364;25;228;3225;2573;79.8
53;312;364;26;246;3205;2553;79.7
54;311;364;26;246;3185;2533;79.5
55;310;364;27;264;3165;2513;79.4
56;309;364;27;264;3145;2493;79.3
57;308;364;28;282;3125;2473;79.1
58;307;364;28;282;3105;2453;79.0
59;306;364;29;292;3095;2443;78.9
60;305;364;28;281;3086;2434;78.9
61;304;364;27;270;3077;2425;78.8
62;303;364;27;270;3067;2415;78.7
63;302;364;28;288;3048;2396;78.6
64;301;364;28;288;3029;2377;78.5
65;300;364;29;296;3021;2361;78.2
66;299;364;29;296;3013;2353;78.1
67;298;364;29;296;3005;2345;78.0
68;297;364;30;303;2998;2338;78.0
69;296;364;29;295;2992;2332;77.9
70;295;364;29;295;2985;2325;77.9
71;294;364;30;308;2972;2311;77.8
72;293;364;30;308;2959;2299;77.7
73;292;364;30;308;2946;2286;77.6
74;291;364;30;308;2933;2276;77.6
75;290;364;30;308;2927;2270;77.6
76;289;364;30;308;2921;2264;77.5
77;288;364;30;308;2915;2258;77.5
78;287;364;30;308;2909;2252;77.4
79;286;364;30;308;2903;2246;77.4
80;285;364;30;308;2897;2240;77.3
81;284;364;30;308;2891;2234;77.3
82;283;364;30;308;2885;2232;77.4
83;282;364;29;294;2875;2222;77.3
84;281;364;30;305;2864;2206;77.0
85;280;364;31;315;2854;2193;76.8
86;279;364;31;315;2844;2183;76.8
87;278;364;31;315;2834;2173;76.7
88;277;364;31;315;2824;2163;76.6
89;276;364;31;315;2814;2156;76.6
90;275;364;32;319;2810;2152;76.6
91;274;364;32;319;2806;2148;76.6
92;273;364;31;306;2796;2138;76.5
93;272;364;31;306;2784;2136;76.7
94;271;364;31;306;2780;2132;76.7
95;270;364;31;306;2776;2128;76.7
96;269;364;31;306;2772;2124;76.6
97;268;364;31;306;2768;2120;76.6
98;267;364;31;306;2764;2116;76.6
99;266;364;31;306;2760;2112;76.5
100;265;364;31;306;2752;2104;76.5
101;264;364;31;306;2744;2096;76.4
102;263;364;30;288;2732;2084;76.3
103;262;364;30;288;2725;2077;76.2
104;261;364;30;288;2718;2070;76.2
105;260;364;31;302;2704;2056;76.0
106;259;364;31;302;2687;2039;75.9
107;258;364;31;302;2670;2022;75.7
108;257;364;30;294;2671;2023;75.7
109;256;364;29;276;2655;2007;75.6
110;255;364;28;258;2645;1997;75.5
111;254;364;29;264;2639;1993;75.5
112;253;364;30;267;2636;1987;75.4
113;252;364;30;267;2633;1984;75.4
114;251;364;30;267;2630;1981;75.3
115;250;364;31;268;2627;1977;75.3
116;249;364;31;268;2616;1973;75.4
117;248;364;31;268;2610;1967;75.4
118;247;364;31;268;2602;1967;75.6
119;246;364;30;250;2586;1951;75.4
120;245;364;29;231;2585;1951;75.5
121;244;364;29;231;2569;1936;75.4
122;243;364;29;231;2563;1930;75.3
123;242;364;30;245;2549;1908;74.9
124;241;364;29;227;2536;1896;74.8
125;240;364;28;211;2538;1897;74.7
126;239;364;28;211;2532;1891;74.7
127;238;364;28;211;2530;1889;74.7
128;237;364;28;211;2528;1889;74.7
129;236;364;27;205;2526;1889;74.8
130;235;364;26;191;2518;1881;74.7
131;234;364;27;193;2516;1877;74.6
132;233;364;28;195;2514;1874;74.5
133;232;364;29;197;2512;1871;74.5
134;231;364;30;199;2510;1868;74.4
135;230;364;31;201;2508;1865;74.4
136;229;364;32;203;2506;1862;74.3
137;228;364;33;205;2504;1859;74.2
138;227;364;34;213;2496;1843;73.8
139;226;364;34;213;2495;1842;73.8
140;225;364;33;198;2504;1852;74.0
141;224;364;32;186;2525;1870;74.1
142;223;364;31;173;2536;1880;74.1
143;222;364;31;173;2528;1872;74.1
144;221;364;31;173;2522;1866;74.0
145;220;364;32;194;2501;1842;73.7
146;219;364;32;194;2480;1821;73.4
147;218;364;33;214;2459;1799;73.2
148;217;364;34;234;2439;1779;72.9
149;216;364;34;234;2419;1759;72.7
150;215;364;35;247;2406;1745;72.5
151;214;364;35;246;2394;1735;72.5
152;213;364;35;246;2386;1727;72.4
153;212;364;35;246;2378;1719;72.3
154;211;364;35;246;2370;1711;72.2
155;210;364;36;265;2351;1692;72.0
156;209;364;36;265;2332;1673;71.7
157;208;364;37;286;2311;1655;71.6
158;207;364;37;286;2308;1652;71.6
159;206;364;37;286;2305;1649;71.5
160;205;364;37;286;2302;1649;71.6
161;204;364;37;286;2300;1647;71.6
162;203;364;36;264;2283;1630;71.4
163;202;364;35;243;2268;1616;71.3
164;201;364;36;262;2249;1605;71.4
165;200;364;36;262;2245;1601;71.3
166;199;364;35;256;2265;1621;71.6
167;198;364;34;250;2263;1617;71.5
168;197;364;34;250;2255;1609;71.4
169;196;364;34;250;2247;1601;71.3
170;195;364;34;250;2239;1593;71.1
171;194;364;34;250;2231;1593;71.4
172;193;364;33;235;2252;1617;71.8
173;192;364;32;215;2237;1604;71.7
174;191;364;32;215;2236;1604;71.7
175;190;364;32;215;2234;1603;71.8
176;189;364;32;215;2232;1602;71.8
177;188;364;32;215;2230;1601;71.8
178;187;364;32;215;2229;1601;71.8
179;186;364;32;215;2227;1600;71.8
180;185;364;32;215;2225;1599;71.9
181;184;364;32;215;2224;1599;71.9
182;183;364;32;215;2222;1598;71.9
183;182;364;32;215;2220;1598;72.0
184;181;364;33;217;2218;1594;71.9
185;180;364;33;217;2216;1592;71.8
186;179;364;34;218;2215;1591;71.8
187;178;364;34;218;2213;1589;71.8
188;177;364;34;218;2216;1593;71.9
189;176;364;35;233;2199;1561;71.0
190;175;364;36;237;2193;1552;70.8
191;174;364;36;237;2187;1546;70.7
192;173;364;37;241;2181;1539;70.6
193;172;364;37;241;2175;1533;70.5
194;171;364;38;245;2169;1527;70.4
195;170;364;38;245;2163;1521;70.3
196;169;364;39;249;2157;1514;70.2
197;168;364;39;249;2151;1508;70.1
198;167;364;40;253;2145;1501;70.0
199;166;364;40;253;2139;1496;69.9
200;165;364;41;263;2129;1486;69.8
201;164;364;41;263;2119;1483;70.0
202;163;364;40;250;2112;1477;69.9
203;162;364;39;237;2108;1474;69.9
204;161;364;40;250;2093;1457;69.6
205;160;364;40;250;2089;1454;69.6
206;159;364;41;262;2075;1440;69.4
207;158;364;42;263;2072;1437;69.4
208;157;364;42;263;2069;1434;69.3
209;156;364;42;263;2066;1431;69.3
210;155;364;42;263;2063;1428;69.2
211;154;364;42;261;2050;1415;69.0
212;153;364;42;261;2036;1401;68.8
213;152;364;41;248;2024;1389;68.6
214;151;364;41;248;2010;1375;68.4
215;150;364;41;248;1996;1361;68.2
216;149;364;41;248;1982;1347;68.0
217;148;364;41;247;1977;1342;67.9
218;147;364;41;247;1964;1329;67.7
219;146;364;40;243;1967;1332;67.7
220;145;364;39;239;1970;1336;67.8
221;144;364;38;235;1973;1339;67.9
222;143;364;37;231;1976;1342;67.9
223;142;364;36;227;1979;1348;68.1
224;141;364;37;237;1967;1336;67.9
225;140;364;37;235;1956;1327;67.8
226;139;364;37;235;1944;1315;67.6
227;138;364;36;224;1934;1306;67.5
228;137;364;35;213;1951;1320;67.7
229;136;364;35;213;1938;1307;67.4
230;135;364;35;213;1926;1295;67.2
231;134;364;35;213;1914;1283;67.0
232;133;364;35;213;1902;1271;66.8
233;132;364;35;212;1899;1269;66.8
234;131;364;35;212;1896;1266;66.8
235;130;364;35;212;1893;1263;66.7
236;129;364;35;212;1890;1260;66.7
237;128;364;35;212;1887;1257;66.6
238;127;364;35;212;1884;1254;66.6
239;126;364;35;212;1873;1245;66.5
240;125;364;35;210;1884;1258;66.8
241;124;364;34;204;1946;1319;67.8
242;123;364;33;200;1946;1317;67.7
243;122;364;33;198;1957;1330;68.0
244;121;364;34;201;1954;1324;67.8
245;120;364;35;203;1952;1320;67.6
246;119;364;36;205;1950;1317;67.5
247;118;364;35;196;2165;1530;70.7
248;117;364;36;197;2164;1529;70.7
249;116;364;36;197;2161;1527;70.7
250;115;364;37;198;2160;1525;70.6
251;114;364;37;198;2151;1521;70.7
252;113;364;38;202;2146;1513;70.5
253;112;364;39;206;2141;1507;70.4
254;111;364;38;195;2175;1543;70.9
255;110;364;38;195;2173;1543;71.0
256;109;364;39;197;2171;1540;70.9
257;108;364;40;199;2169;1537;70.9
258;107;364;41;201;2167;1535;70.8
259;106;364;42;203;2165;1533;70.8
260;105;364;41;196;2234;1600;71.6
261;104;364;41;196;2233;1599;71.6
262;103;364;41;196;2232;1599;71.6
263;102;364;40;187;2325;1696;72.9
264;101;364;40;186;2325;1697;73.0
265;100;364;41;187;2324;1696;73.0
266;99;364;41;185;2323;1696;73.0
267;98;364;41;183;2322;1699;73.2
268;97;364;41;173;2390;1767;73.9
269;96;364;42;174;2389;1766;73.9
270;95;364;43;175;2388;1765;73.9
271;94;364;44;176;2387;1764;73.9
272;93;364;44;176;2386;1764;73.9
273;92;364;43;173;2387;1765;73.9
274;91;364;42;171;2387;1765;73.9
275;90;364;41;168;2388;1768;74.0
276;89;364;40;166;2388;1769;74.1
277;88;364;39;163;2390;1770;74.1
278;87;364;38;161;2392;1772;74.1
279;86;364;38;161;2391;1771;74.1
280;85;364;38;161;2390;1770;74.1
281;84;364;38;161;2389;1769;74.0
282;83;364;38;161;2388;1768;74.0
283;82;364;38;161;2387;1767;74.0
284;81;364;38;161;2386;1766;74.0
285;80;364;37;128;2706;2081;76.9
286;79;364;36;95;2818;2201;78.1
287;78;364;36;95;2817;2200;78.1
288;77;364;36;95;2816;2199;78.1
289;76;364;35;93;2920;2304;78.9
290;75;364;35;93;2919;2303;78.9
291;74;364;35;93;2918;2302;78.9
292;73;364;35;93;2917;2301;78.9
293;72;364;35;93;2916;2300;78.9
294;71;364;35;93;2915;2300;78.9
295;70;364;35;93;2914;2300;78.9
296;69;364;34;80;3003;2387;79.5
297;68;364;33;78;3149;2533;80.4
298;67;364;33;78;3149;2533;80.4
299;66;364;33;78;3149;2533;80.4
300;65;364;33;78;3149;2533;80.4
301;64;364;33;78;3149;2533;80.4
302;63;364;32;77;3150;2534;80.4
303;62;364;32;77;3150;2534;80.4
304;61;364;31;75;3156;2540;80.5
305;60;364;30;69;3234;2619;81.0
306;59;364;29;67;3250;2637;81.1
307;58;364;29;67;3250;2637;81.1
308;57;364;29;67;3250;2637;81.1
309;56;364;29;67;3250;2637;81.1
310;55;364;29;67;3250;2637;81.1
311;54;364;29;67;3250;2637;81.1
312;53;364;29;67;3250;2637;81.1
313;52;364;29;67;3250;2637;81.1
314;51;364;29;67;3250;2637;81.1
315;50;364;29;67;3250;2637;81.1
316;49;364;28;66;3267;2655;81.3
317;48;364;27;62;3367;2759;81.9
318;47;364;26;52;3417;2816;82.4
319;46;364;25;51;3429;2828;82.5
320;45;364;24;50;3441;2840;82.5
321;44;364;23;47;3444;2842;82.5
322;43;364;22;45;3446;2845;82.6
323;42;364;21;45;3502;2901;82.8
324;41;364;20;44;3508;2907;82.9
325;40;364;20;44;3508;2907;82.9
326;39;364;19;42;3512;2910;82.9
327;38;364;18;40;3516;2914;82.9
328;37;364;17;38;3520;2918;82.9
329;36;364;16;37;3524;2922;82.9
330;35;364;15;35;3528;2926;82.9
331;34;364;14;33;3532;2930;83.0
332;33;364;13;32;3535;2933;83.0
333;32;364;12;30;3539;2937;83.0
334;31;364;11;28;3543;2942;83.0
335;30;364;10;20;3591;2990;83.3
336;29;364;9;18;3595;2996;83.3
337;28;364;8;17;3596;2997;83.3
338;27;364;7;16;3597;2998;83.3
339;26;364;6;15;3598;2999;83.4
340;25;364;5;12;3616;3017;83.4
341;24;364;4;11;3617;3018;83.4
342;23;364;3;10;3623;3024;83.5
343;22;364;3;10;3623;3024;83.5
344;21;364;3;10;3623;3024;83.5
345;20;364;3;10;3623;3024;83.5
346;19;364;3;10;3623;3024;83.5
347;18;364;3;10;3623;3024;83.5
348;17;364;3;10;3623;3024;83.5
349;16;364;3;10;3623;3024;83.5
350;15;364;3;10;3623;3024;83.5
351;14;364;3;10;3623;3024;83.5
352;13;364;2;9;3626;3027;83.5
353;12;364;1;1;3698;3099;83.8
354;11;364;0;0;3703;3104;83.8
355;10;364;0;0;3703;3104;83.8
356;9;364;0;0;3703;3104;83.8
357;8;364;0;0;3703;3104;83.8
358;7;364;0;0;3703;3104;83.8
359;6;364;0;0;3703;3104;83.8
360;5;364;0;0;3703;3104;83.8
361;4;364;0;0;3703;3104;83.8
362;3;364;0;0;3703;3104;83.8
363;2;364;0;0;3703;3104;83.8
364;1;364;0;0;3703;3104;83.8
