level;test_classes;test_methods;setup_methods;attributes;total_statements;duplicated_statements;duplication_rate
1;364;364;0;0;3703;3104;83.8
2;363;364;1;2;3701;3100;83.8
3;362;364;2;8;3695;3088;83.6
4;361;364;2;8;3689;3082;83.5
5;360;364;2;8;3683;3076;83.5
6;359;364;2;8;3677;3070;83.5
7;358;364;2;8;3671;3064;83.5
8;357;364;3;21;3658;3039;83.1
9;356;364;4;36;3643;3009;82.6
10;355;364;5;43;3636;3002;82.6
11;354;364;6;49;3630;2994;82.5
12;353;364;7;53;3626;2990;82.5
13;352;364;8;66;3613;2977;82.4
14;351;364;9;80;3599;2963;82.3
15;350;364;10;93;3586;2949;82.2
16;349;364;11;101;3578;2941;82.2
17;348;364;12;105;3574;2935;82.1
18;347;364;13;116;3563;2919;81.9
19;346;364;13;116;3552;2908;81.9
20;345;364;13;116;3541;2897;81.8
21;344;364;14;131;3526;2879;81.7
22;343;364;15;142;3515;2867;81.6
23;342;364;16;153;3504;2856;81.5
24;341;364;17;156;3501;2852;81.5
25;340;364;18;158;3499;2851;81.5
26;339;364;19;159;3498;2849;81.4
27;338;364;19;159;3497;2848;81.4
28;337;364;19;159;3496;2847;81.4
29;336;364;19;159;3495;2846;81.4
30;335;364;19;159;3494;2845;81.4
31;334;364;20;160;3493;2843;81.4
32;333;364;20;160;3492;2842;81.4
33;332;364;20;160;3491;2841;81.4
34;331;364;21;161;3490;2839;81.3
35;330;364;21;161;3489;2838;81.3
36;329;364;22;165;3485;2832;81.3
37;328;364;22;165;3470;2817;81.2
38;327;364;22;165;3455;2802;81.1
39;326;364;22;165;3440;2787;81.0
40;325;364;22;165;3425;2774;81.0
41;324;364;22;165;3410;2759;80.9
42;323;364;22;165;3395;2744;80.8
43;322;364;22;165;3380;2729;80.7
44;321;364;22;165;3365;2716;80.7
45;320;364;23;179;3351;2701;80.6
46;319;364;23;179;3337;2687;80.5
47;318;364;23;179;3323;2675;80.5
48;317;364;24;192;3310;2662;80.4
49;316;364;25;212;3289;2637;80.2
50;315;364;24;198;3277;2625;80.1
51;314;364;24;198;3264;2612;80.0
52;313;364;25;216;3242;2589;79.9
53;312;364;26;234;3221;2568;79.7
54;311;364;27;252;3200;2547;79.6
55;310;364;27;252;3200;2547;79.6
56;309;364;28;270;3180;2527;79.5
57;308;364;28;270;3160;2507;79.3
58;307;364;29;288;3140;2487;79.2
59;306;364;29;288;3120;2467;79.1
60;305;364;30;306;3100;2447;78.9
61;304;364;30;306;3080;2427;78.8
62;303;364;31;316;3070;2417;78.7
63;302;364;30;305;3061;2408;78.7
64;301;364;29;294;3052;2399;78.6
65;300;364;29;294;3042;2389;78.5
66;299;364;30;312;3023;2370;78.4
67;298;364;30;312;3004;2351;78.3
68;297;364;31;320;2996;2343;78.2
69;296;364;31;304;3009;2357;78.3
70;295;364;32;314;2999;2342;78.1
71;294;364;32;314;2989;2332;78.0
72;293;364;32;314;2979;2322;77.9
73;292;364;32;314;2969;2312;77.9
74;291;364;32;314;2959;2302;77.8
75;290;364;31;310;2963;2306;77.8
76;289;364;32;318;2955;2290;77.5
77;288;364;32;318;2947;2282;77.4
78;287;364;32;318;2939;2274;77.4
79;286;364;33;331;2926;2264;77.4
80;285;364;34;338;2919;2257;77.3
81;284;364;33;330;2913;2251;77.3
82;283;364;33;330;2906;2244;77.2
83;282;364;34;341;2893;2220;76.7
84;281;364;35;354;2880;2206;76.6
85;280;364;35;354;2867;2194;76.5
86;279;364;34;336;2891;2216;76.7
87;278;364;33;323;2884;2210;76.6
88;277;364;34;344;2863;2187;76.4
89;276;364;33;326;2851;2175;76.3
90;275;364;32;307;2845;2169;76.2
91;274;364;33;316;2834;2155;76.0
92;273;364;34;336;2814;2135;75.9
93;272;364;34;336;2808;2129;75.8
94;271;364;34;336;2802;2123;75.8
95;270;364;34;336;2796;2117;75.7
96;269;364;34;336;2790;2111;75.7
97;268;364;34;336;2784;2105;75.6
98;267;364;34;336;2778;2099;75.6
99;266;364;34;336;2772;2093;75.5
100;265;364;34;336;2766;2091;75.6
101;264;364;33;322;2756;2081;75.5
102;263;364;32;309;2752;2077;75.5
103;262;364;32;309;2748;2073;75.4
104;261;364;33;328;2729;2054;75.3
105;260;364;34;343;2712;2033;75.0
106;259;364;35;354;2701;2017;74.7
107;258;364;36;367;2686;2002;74.5
108;257;364;36;367;2673;1989;74.4
109;256;364;37;377;2663;1976;74.2
110;255;364;37;377;2653;1966;74.1
111;254;364;37;377;2643;1956;74.0
112;253;364;37;377;2633;1946;73.9
113;252;364;37;377;2623;1939;73.9
114;251;364;38;392;2606;1922;73.8
115;250;364;38;392;2589;1905;73.6
116;249;364;37;374;2578;1894;73.5
117;248;364;36;356;2565;1882;73.4
118;247;364;36;356;2554;1871;73.3
119;246;364;35;338;2572;1889;73.4
120;245;364;35;336;2559;1876;73.3
121;244;364;35;336;2559;1876;73.3
122;243;364;36;337;2556;1873;73.3
123;242;364;36;337;2553;1870;73.2
124;241;364;36;337;2550;1867;73.2
125;240;364;36;337;2547;1864;73.2
126;239;364;37;338;2544;1861;73.2
127;238;364;37;338;2541;1858;73.1
128;237;364;37;338;2538;1855;73.1
129;236;364;37;338;2535;1852;73.1
130;235;364;38;339;2532;1849;73.0
131;234;364;38;339;2529;1846;73.0
132;233;364;38;339;2526;1843;73.0
133;232;364;38;339;2523;1840;72.9
134;231;364;39;350;2510;1827;72.8
135;230;364;39;350;2497;1814;72.6
136;229;364;39;350;2484;1801;72.5
137;228;364;40;371;2463;1779;72.2
138;227;364;41;375;2459;1775;72.2
139;226;364;41;375;2455;1771;72.1
140;225;364;40;362;2445;1761;72.0
141;224;364;40;362;2433;1759;72.3
142;223;364;39;351;2432;1759;72.3
143;222;364;39;351;2428;1755;72.3
144;221;364;39;351;2424;1751;72.2
145;220;364;39;351;2420;1747;72.2
146;219;364;39;351;2416;1743;72.1
147;218;364;39;351;2412;1739;72.1
148;217;364;39;351;2408;1735;72.1
149;216;364;40;352;2405;1732;72.0
150;215;364;40;352;2402;1729;72.0
151;214;364;40;352;2399;1726;71.9
152;213;364;40;352;2396;1723;71.9
153;212;364;40;352;2388;1715;71.8
154;211;364;40;352;2380;1707;71.7
155;210;364;41;353;2377;1703;71.6
156;209;364;41;353;2360;1686;71.4
157;208;364;40;335;2347;1673;71.3
158;207;364;40;335;2336;1662;71.1
159;206;364;40;335;2325;1651;71.0
160;205;364;40;335;2315;1641;70.9
161;204;364;40;334;2303;1629;70.7
162;203;364;39;319;2294;1620;70.6
163;202;364;39;319;2287;1613;70.5
164;201;364;38;311;2281;1607;70.5
165;200;364;38;311;2271;1602;70.5
166;199;364;39;325;2257;1588;70.4
167;198;364;39;325;2244;1575;70.2
168;197;364;37;300;2277;1609;70.7
169;196;364;35;259;2318;1651;71.2
170;195;364;34;237;2358;1691;71.7
171;194;364;33;224;2351;1688;71.8
172;193;364;33;224;2348;1685;71.8
173;192;364;33;224;2331;1669;71.6
174;191;364;32;206;2319;1657;71.5
175;190;364;32;206;2308;1646;71.3
176;189;364;31;198;2310;1648;71.3
177;188;364;32;204;2304;1644;71.4
178;187;364;32;204;2304;1644;71.4
179;186;364;32;204;2304;1644;71.4
180;185;364;32;204;2304;1644;71.4
181;184;364;32;204;2304;1644;71.4
182;183;364;33;206;2302;1640;71.2
183;182;364;34;208;2300;1637;71.2
184;181;364;35;210;2298;1634;71.1
185;180;364;36;212;2296;1631;71.0
186;179;364;37;214;2294;1628;71.0
187;178;364;38;216;2292;1625;70.9
188;177;364;39;218;2290;1622;70.8
189;176;364;39;218;2282;1622;71.1
190;175;364;40;221;2279;1616;70.9
191;174;364;40;221;2276;1613;70.9
192;173;364;40;221;2273;1610;70.8
193;172;364;41;223;2271;1606;70.7
194;171;364;42;224;2269;1604;70.7
195;170;364;41;223;2268;1603;70.7
196;169;364;41;223;2268;1603;70.7
197;168;364;41;223;2257;1599;70.8
198;167;364;42;231;2249;1583;70.4
199;166;364;42;229;2252;1586;70.4
200;165;364;41;210;2271;1609;70.8
201;164;364;40;193;2388;1739;72.8
202;163;364;40;193;2388;1739;72.8
203;162;364;41;201;2380;1731;72.7
204;161;364;41;201;2377;1728;72.7
205;160;364;41;201;2371;1722;72.6
206;159;364;40;188;2440;1790;73.4
207;158;364;39;187;2437;1787;73.3
208;157;364;39;187;2437;1787;73.3
209;156;364;39;187;2434;1784;73.3
210;155;364;39;187;2432;1782;73.3
211;154;364;39;187;2430;1782;73.3
212;153;364;38;181;2428;1782;73.4
213;152;364;37;167;2420;1774;73.3
214;151;364;37;167;2420;1774;73.3
215;150;364;37;167;2420;1774;73.3
216;149;364;37;167;2420;1774;73.3
217;148;364;38;168;2417;1771;73.3
218;147;364;38;168;2414;1768;73.2
219;146;364;38;168;2411;1765;73.2
220;145;364;38;168;2408;1762;73.2
221;144;364;37;167;2405;1759;73.1
222;143;364;37;167;2403;1758;73.2
223;142;364;37;167;2401;1757;73.2
224;141;364;37;167;2399;1756;73.2
225;140;364;37;167;2397;1755;73.2
226;139;364;37;167;2395;1754;73.2
227;138;364;37;167;2393;1753;73.3
228;137;364;37;167;2391;1753;73.3
229;136;364;37;167;2391;1753;73.3
230;135;364;37;167;2391;1753;73.3
231;134;364;38;170;2388;1750;73.3
232;133;364;38;170;2385;1750;73.4
233;132;364;39;178;2377;1742;73.3
234;131;364;39;178;2369;1734;73.2
235;130;364;39;178;2367;1732;73.2
236;129;364;38;168;2532;1897;74.9
237;128;364;37;160;2524;1889;74.8
238;127;364;37;160;2516;1881;74.8
239;126;364;37;160;2513;1878;74.7
240;125;364;35;147;2695;2060;76.4
241;124;364;36;148;2693;2057;76.4
242;123;364;37;149;2691;2055;76.4
243;122;364;38;150;2689;2054;76.4
244;121;364;38;150;2681;2046;76.3
245;120;364;38;150;2678;2043;76.3
246;119;364;37;142;2670;2035;76.2
247;118;364;36;136;2690;2055;76.4
248;117;364;35;134;2714;2079;76.6
249;116;364;35;134;2714;2079;76.6
250;115;364;33;130;2722;2086;76.6
251;114;364;32;127;2719;2083;76.6
252;113;364;32;127;2719;2083;76.6
253;112;364;32;127;2719;2083;76.6
254;111;364;31;121;2725;2087;76.6
255;110;364;31;121;2717;2087;76.8
256;109;364;30;120;2714;2084;76.8
257;108;364;29;119;2712;2082;76.8
258;107;364;28;102;3052;2431;79.7
259;106;364;28;102;3052;2431;79.7
260;105;364;27;91;3085;2469;80.0
261;104;364;27;91;3085;2469;80.0
262;103;364;27;91;3085;2469;80.0
263;102;364;27;91;3085;2469;80.0
264;101;364;27;91;3085;2469;80.0
265;100;364;27;91;3085;2469;80.0
266;99;364;27;91;3085;2469;80.0
267;98;364;27;91;3084;2469;80.1
268;97;364;25;87;3092;2477;80.1
269;96;364;24;85;3096;2481;80.1
270;95;364;24;85;3096;2481;80.1
271;94;364;23;83;3100;2485;80.2
272;93;364;22;81;3104;2490;80.2
273;92;364;22;81;3103;2490;80.2
274;91;364;22;81;3102;2490;80.3
275;90;364;22;81;3102;2490;80.3
276;89;364;22;81;3102;2490;80.3
277;88;364;22;81;3102;2490;80.3
278;87;364;22;81;3102;2490;80.3
279;86;364;22;81;3102;2490;80.3
280;85;364;23;82;3101;2489;80.3
281;84;364;24;83;3100;2488;80.3
282;83;364;24;83;3103;2492;80.3
283;82;364;23;82;3100;2489;80.3
284;81;364;23;82;3098;2487;80.3
285;80;364;23;82;3096;2486;80.3
286;79;364;23;82;3096;2486;80.3
287;78;364;22;71;3140;2529;80.5
288;77;364;22;71;3140;2529;80.5
289;76;364;21;69;3142;2531;80.6
290;75;364;20;68;3139;2528;80.5
291;74;364;20;68;3138;2528;80.6
292;73;364;21;69;3137;2526;80.5
293;72;364;20;68;3134;2523;80.5
294;71;364;19;64;3138;2529;80.6
295;70;364;19;64;3138;2529;80.6
296;69;364;19;64;3138;2529;80.6
297;68;364;19;64;3138;2529;80.6
298;67;364;19;64;3138;2529;80.6
299;66;364;19;64;3138;2529;80.6
300;65;364;20;65;3137;2528;80.6
301;64;364;18;60;3142;2533;80.6
302;63;364;18;60;3141;2532;80.6
303;62;364;17;59;3139;2530;80.6
304;61;364;18;60;3138;2528;80.6
305;60;364;17;59;3139;2530;80.6
306;59;364;17;59;3138;2530;80.6
307;58;364;16;49;3208;2604;81.2
308;57;364;15;48;3214;2610;81.2
309;56;364;15;48;3214;2610;81.2
310;55;364;14;46;3318;2715;81.8
311;54;364;14;46;3318;2715;81.8
312;53;364;13;46;3374;2771;82.1
313;52;364;12;34;3458;2857;82.6
314;51;364;12;34;3458;2857;82.6
315;50;364;12;34;3458;2857;82.6
316;49;364;12;34;3458;2857;82.6
317;48;364;11;28;3536;2937;83.1
318;47;364;11;28;3536;2937;83.1
319;46;364;11;28;3536;2937;83.1
320;45;364;11;28;3536;2937;83.1
321;44;364;11;28;3536;2937;83.1
322;43;364;11;28;3536;2937;83.1
323;42;364;11;28;3536;2937;83.1
324;41;364;10;27;3537;2938;83.1
325;40;364;10;27;3537;2938;83.1
326;39;364;9;25;3543;2944;83.1
327;38;364;9;25;3543;2944;83.1
328;37;364;9;25;3543;2944;83.1
329;36;364;9;25;3543;2944;83.1
330;35;364;9;25;3543;2944;83.1
331;34;364;9;25;3543;2944;83.1
332;33;364;9;25;3543;2944;83.1
333;32;364;9;25;3543;2944;83.1
334;31;364;9;25;3543;2944;83.1
335;30;364;8;24;3549;2950;83.1
336;29;364;8;24;3549;2950;83.1
337;28;364;8;24;3549;2950;83.1
338;27;364;7;23;3553;2954;83.1
339;26;364;6;22;3556;2957;83.2
340;25;364;5;14;3604;3005;83.4
341;24;364;4;11;3622;3023;83.5
342;23;364;3;10;3623;3024;83.5
343;22;364;3;10;3623;3024;83.5
344;21;364;3;10;3623;3024;83.5
345;20;364;3;10;3623;3024;83.5
346;19;364;3;10;3623;3024;83.5
347;18;364;3;10;3623;3024;83.5
348;17;364;3;10;3623;3024;83.5
349;16;364;3;10;3623;3024;83.5
350;15;364;3;10;3623;3024;83.5
351;14;364;3;10;3623;3024;83.5
352;13;364;2;9;3626;3027;83.5
353;12;364;1;1;3698;3099;83.8
354;11;364;0;0;3703;3104;83.8
355;10;364;0;0;3703;3104;83.8
356;9;364;0;0;3703;3104;83.8
357;8;364;0;0;3703;3104;83.8
358;7;364;0;0;3703;3104;83.8
359;6;364;0;0;3703;3104;83.8
360;5;364;0;0;3703;3104;83.8
361;4;364;0;0;3703;3104;83.8
362;3;364;0;0;3703;3104;83.8
363;2;364;0;0;3703;3104;83.8
364;1;364;0;0;3703;3104;83.8
