level;test_classes;test_methods;setup_methods;attributes;setup_statements;duplicated_setup_statements;setup_duplication_rate
1;365;365;0;0;3685;3094;84.0
2;364;365;1;2;3683;3090;83.9
3;363;365;2;8;3677;3078;83.7
4;362;365;2;8;3671;3072;83.7
5;361;365;2;8;3665;3066;83.7
6;360;365;2;8;3659;3060;83.6
7;359;365;2;8;3653;3054;83.6
8;358;365;3;21;3640;3029;83.2
9;357;365;4;36;3625;2999;82.7
10;356;365;5;43;3618;2992;82.7
11;355;365;6;49;3612;2984;82.6
12;354;365;7;53;3608;2980;82.6
13;353;365;8;66;3595;2967;82.5
14;352;365;9;80;3581;2953;82.5
15;351;365;10;93;3568;2939;82.4
16;350;365;11;101;3560;2931;82.3
17;349;365;12;105;3556;2925;82.3
18;348;365;13;116;3545;2909;82.1
19;347;365;13;116;3534;2898;82.0
20;346;365;13;116;3523;2887;81.9
21;345;365;14;131;3508;2869;81.8
22;344;365;15;142;3497;2857;81.7
23;343;365;16;153;3486;2846;81.6
24;342;365;17;156;3483;2842;81.6
25;341;365;18;158;3481;2841;81.6
26;340;365;19;159;3480;2839;81.6
27;339;365;19;159;3479;2838;81.6
28;338;365;19;159;3478;2837;81.6
29;337;365;19;159;3477;2836;81.6
30;336;365;19;159;3476;2835;81.6
31;335;365;20;160;3475;2833;81.5
32;334;365;20;160;3474;2832;81.5
33;333;365;20;160;3473;2831;81.5
34;332;365;21;161;3472;2829;81.5
35;331;365;21;161;3471;2828;81.5
36;330;365;21;161;3456;2813;81.4
37;329;365;21;161;3441;2798;81.3
38;328;365;21;161;3426;2783;81.2
39;327;365;21;161;3411;2770;81.2
40;326;365;21;161;3396;2755;81.1
41;325;365;21;161;3381;2740;81.0
42;324;365;21;161;3366;2725;81.0
43;323;365;21;161;3351;2712;80.9
44;322;365;22;175;3337;2697;80.8
45;321;365;22;175;3323;2683;80.7
46;320;365;22;175;3309;2671;80.7
47;319;365;23;188;3296;2658;80.6
48;318;365;22;174;3284;2646;80.6
49;317;365;22;174;3271;2633;80.5
50;316;365;23;192;3249;2606;80.2
51;315;365;24;210;3228;2584;80.0
52;314;365;25;228;3207;2563;79.9
53;313;365;26;246;3187;2543;79.8
54;312;365;26;246;3167;2523;79.7
55;311;365;27;264;3147;2503;79.5
56;310;365;27;264;3127;2483;79.4
57;309;365;28;282;3107;2463;79.3
58;308;365;28;282;3087;2443;79.1
59;307;365;29;292;3077;2433;79.1
60;306;365;28;281;3068;2424;79.0
61;305;365;27;270;3059;2415;78.9
62;304;365;27;270;3049;2405;78.9
63;303;365;28;288;3030;2386;78.7
64;302;365;28;288;3011;2367;78.6
65;301;365;29;296;3003;2351;78.3
66;300;365;29;296;2995;2343;78.2
67;299;365;29;296;2987;2335;78.2
68;298;365;30;303;2980;2328;78.1
69;297;365;29;295;2974;2322;78.1
70;296;365;29;295;2967;2315;78.0
71;295;365;30;308;2954;2301;77.9
