level;test_classes;test_methods;setup_methods;attributes;setup_statements;duplicated_setup_statements;setup_duplication_rate
1;138;138;0;0;550;283;51.5
2;137;138;1;2;548;280;51.1
3;136;138;2;3;547;279;51.0
4;135;138;3;6;544;273;50.2
5;134;138;4;7;543;271;49.9
6;133;138;5;9;540;267;49.4
7;132;138;6;13;536;259;48.3
8;131;138;6;13;532;257;48.3
9;130;138;7;19;521;245;47.0
10;129;138;7;19;515;241;46.8
11;128;138;8;25;504;230;45.6
12;127;138;8;25;498;228;45.8
13;126;138;8;24;498;228;45.8
14;125;138;9;25;497;226;45.5
15;124;138;9;25;496;225;45.4
16;123;138;9;25;495;225;45.5
17;122;138;10;27;493;221;44.8
18;121;138;10;27;491;219;44.6
19;120;138;10;27;489;217;44.4
20;119;138;10;27;487;216;44.4
21;118;138;11;28;486;214;44.0
22;117;138;11;28;485;213;43.9
23;116;138;11;28;484;213;44.0
24;115;138;12;29;483;212;43.9
25;114;138;12;29;482;211;43.8
26;113;138;13;31;480;209;43.5
27;112;138;13;30;479;210;43.8
28;111;138;13;28;481;214;44.5
29;110;138;13;28;471;204;43.3
30;109;138;13;28;466;199;42.7
31;108;138;14;31;463;196;42.3
32;107;138;15;32;461;194;42.1
33;106;138;16;33;460;192;41.7
34;105;138;16;33;459;192;41.8
35;104;138;16;32;462;196;42.4
36;103;138;16;31;462;197;42.6
37;102;138;15;29;463;198;42.8
38;101;138;15;28;464;199;42.9
39;100;138;15;28;463;199;43.0
40;99;138;15;28;462;198;42.9
41;98;138;15;28;461;197;42.7
42;97;138;15;28;460;196;42.6
43;96;138;15;28;459;195;42.5
44;95;138;15;28;458;195;42.6
45;94;138;16;29;457;193;42.2
46;93;138;16;29;456;192;42.1
47;92;138;16;29;455;191;42.0
48;91;138;16;29;454;190;41.9
49;90;138;16;29;453;190;41.9
50;89;138;17;30;452;188;41.6
51;88;138;17;30;451;188;41.7
52;87;138;17;30;451;188;41.7
53;86;138;17;30;451;188;41.7
54;85;138;17;30;451;188;41.7
55;84;138;17;30;451;188;41.7
56;83;138;17;30;451;188;41.7
57;82;138;17;30;451;188;41.7
58;81;138;17;30;451;188;41.7
59;80;138;17;30;451;188;41.7
60;79;138;17;30;451;188;41.7
61;78;138;16;29;457;194;42.5
62;77;138;15;28;462;199;43.1
63;76;138;15;28;462;199;43.1
64;75;138;14;22;479;212;44.3
65;74;138;13;16;496;228;46.0
66;73;138;13;16;511;243;47.6
67;72;138;12;15;513;245;47.8
68;71;138;12;15;513;245;47.8
69;70;138;12;15;513;245;47.8
70;69;138;12;15;513;245;47.8
71;68;138;12;15;513;245;47.8
72;67;138;12;15;513;245;47.8
73;66;138;12;15;513;245;47.8
74;65;138;12;15;513;245;47.8
75;64;138;12;15;513;245;47.8
76;63;138;11;14;516;248;48.1
77;62;138;11;14;516;248;48.1
78;61;138;11;14;516;248;48.1
79;60;138;11;14;516;248;48.1
80;59;138;11;14;516;248;48.1
81;58;138;11;14;516;248;48.1
82;57;138;11;14;516;248;48.1
83;56;138;11;14;516;248;48.1
84;55;138;10;12;522;254;48.7
85;54;138;9;11;525;257;49.0
86;53;138;9;11;525;257;49.0
87;52;138;9;11;525;257;49.0
88;51;138;9;11;525;257;49.0
89;50;138;8;10;526;258;49.0
90;49;138;8;10;526;258;49.0
91;48;138;7;9;528;260;49.2
92;47;138;7;9;528;260;49.2
93;46;138;6;8;533;265;49.7
94;45;138;6;8;533;265;49.7
95;44;138;5;5;536;268;50.0
96;43;138;4;4;539;271;50.3
97;42;138;4;4;539;271;50.3
98;41;138;4;4;539;271;50.3
99;40;138;4;4;539;271;50.3
100;39;138;4;4;539;271;50.3
101;38;138;4;4;539;271;50.3
102;37;138;4;4;539;271;50.3
103;36;138;4;4;539;271;50.3
104;35;138;3;3;540;272;50.4
105;34;138;3;3;540;272;50.4
106;33;138;2;2;542;275;50.7
107;32;138;2;2;542;275;50.7
108;31;138;1;1;545;278;51.0
109;30;138;1;1;545;278;51.0
110;29;138;1;1;545;278;51.0
111;28;138;1;1;545;278;51.0
112;27;138;1;1;545;278;51.0
113;26;138;1;1;545;278;51.0
114;25;138;1;1;545;278;51.0
115;24;138;1;1;545;278;51.0
116;23;138;1;1;545;278;51.0
117;22;138;1;1;545;278;51.0
118;21;138;1;1;545;278;51.0
119;20;138;1;1;545;278;51.0
120;19;138;0;0;550;283;51.5
121;18;138;0;0;550;283;51.5
122;17;138;0;0;550;283;51.5
123;16;138;0;0;550;283;51.5
124;15;138;0;0;550;283;51.5
125;14;138;0;0;550;283;51.5
126;13;138;0;0;550;283;51.5
127;12;138;0;0;550;283;51.5
128;11;138;0;0;550;283;51.5
129;10;138;0;0;550;283;51.5
130;9;138;0;0;550;283;51.5
131;8;138;0;0;550;283;51.5
132;7;138;0;0;550;283;51.5
133;6;138;0;0;550;283;51.5
134;5;138;0;0;550;283;51.5
135;4;138;0;0;550;283;51.5
136;3;138;0;0;550;283;51.5
137;2;138;0;0;550;283;51.5
138;1;138;0;0;550;283;51.5
