level;test_classes;test_methods;setup_methods;attributes;setup_statements;duplicated_setup_statements;setup_duplication_rate
1;66;66;0;0;132;29;22.0
2;65;66;1;2;130;26;20.0
3;64;66;2;4;128;24;18.8
4;63;66;3;5;127;23;18.1
5;62;66;4;7;125;20;16.0
6;61;66;5;9;123;17;13.8
7;60;66;6;11;119;13;10.9
8;59;66;6;10;119;13;10.9
9;58;66;6;10;118;13;11.0
10;57;66;6;9;118;13;11.0
11;56;66;6;9;117;13;11.1
12;55;66;7;10;116;12;10.3
13;54;66;8;11;115;10;8.7
14;53;66;8;11;114;10;8.8
15;52;66;9;12;113;9;8.0
16;51;66;10;13;112;8;7.1
17;50;66;11;14;111;7;6.3
18;49;66;12;15;110;5;4.5
19;48;66;12;15;109;4;3.7
20;47;66;13;16;108;3;2.8
21;46;66;14;17;107;2;1.9
22;45;66;14;17;106;2;1.9
23;44;66;14;16;106;3;2.8
24;43;66;14;16;106;3;2.8
25;42;66;14;16;106;3;2.8
26;41;66;14;16;106;3;2.8
27;40;66;14;16;106;3;2.8
28;39;66;14;16;106;3;2.8
29;38;66;13;15;108;5;4.6
30;37;66;12;13;110;7;6.4
31;36;66;12;13;110;7;6.4
32;35;66;11;12;111;8;7.2
33;34;66;10;11;112;9;8.0
34;33;66;10;11;112;9;8.0
35;32;66;10;11;112;9;8.0
36;31;66;10;11;112;9;8.0
37;30;66;10;11;112;9;8.0
38;29;66;10;11;112;9;8.0
39;28;66;10;11;112;9;8.0
40;27;66;10;11;112;9;8.0
41;26;66;10;11;112;9;8.0
42;25;66;10;11;112;9;8.0
43;24;66;10;11;112;9;8.0
44;23;66;10;11;112;9;8.0
45;22;66;10;11;112;9;8.0
46;21;66;10;11;112;9;8.0
47;20;66;9;10;113;10;8.8
48;19;66;8;9;114;11;9.6
49;18;66;8;9;114;11;9.6
50;17;66;8;9;114;11;9.6
51;16;66;7;8;117;14;12.0
52;15;66;6;7;120;17;14.2
53;14;66;6;7;120;17;14.2
54;13;66;5;6;121;18;14.9
55;12;66;4;5;124;21;16.9
56;11;66;4;5;124;21;16.9
57;10;66;3;3;128;25;19.5
58;9;66;2;2;129;26;20.2
59;8;66;2;2;129;26;20.2
60;7;66;2;2;129;26;20.2
61;6;66;2;2;129;26;20.2
62;5;66;2;2;129;26;20.2
63;4;66;2;2;129;26;20.2
64;3;66;2;2;129;26;20.2
65;2;66;1;1;130;27;20.8
66;1;66;0;0;132;29;22.0
