project;variant;test_classes;setup_methods;attributes;helper_methods;total_statements;duplicated_statements
roza;original;129;72;353;152;2696;1500
roza;implicit;340;50;274;152;2855;1637
roza;residual-implicit;135;79;407;152;2662;1462
roza;delegated;129;72;353;183;2602;1375
roza;implicit+delegated;340;50;274;195;2732;1471
roza;delegated+implicit;343;52;282;183;2768;1519
roza;residual-implicit+delegated;135;79;407;184;2572;1340
roza;delegated+residual-implicit;133;77;392;183;2563;1335
commons-csv;original;36;2;42;105;976;268
commons-csv;implicit;168;23;54;105;954;241
commons-csv;residual-implicit;48;15;116;105;949;234
commons-csv;delegated;36;2;42;105;976;268
commons-csv;implicit+delegated;168;23;54;105;954;241
commons-csv;delegated+implicit;168;23;54;105;954;241
commons-csv;residual-implicit+delegated;48;15;116;105;949;234
commons-csv;delegated+residual-implicit;48;15;116;105;949;234
commons-lang;original;294;41;385;576;9602;3027
commons-lang;implicit;1657;275;696;576;9182;2576
commons-lang;residual-implicit;506;285;793;576;9026;2454
commons-lang;delegated;294;41;385;658;9478;2821
commons-lang;implicit+delegated;1657;275;696;649;9121;2442
commons-lang;delegated+implicit;1664;267;655;658;9173;2487
commons-lang;residual-implicit+delegated;506;285;793;629;8979;2354
commons-lang;delegated+residual-implicit;495;278;715;658;9040;2395
commons-math;original;323;24;685;1130;13977;5244
commons-math;implicit;1418;277;920;1130;13894;4996
commons-math;residual-implicit;537;288;1097;1130;13519;4685
commons-math;delegated;323;24;685;1213;13796;4980
commons-math;implicit+delegated;1418;277;920;1243;13497;4486
commons-math;delegated+implicit;1271;275;841;1213;13723;4794
commons-math;residual-implicit+delegated;537;288;1097;1219;13174;4251
commons-math;delegated+residual-implicit;540;288;1066;1213;13390;4484
commons-text;original;94;9;98;178;3225;1217
commons-text;implicit;282;62;124;178;3142;1116
commons-text;residual-implicit;172;97;270;178;3100;1075
commons-text;delegated;94;9;98;237;3127;1060
commons-text;implicit+delegated;282;62;124;234;3064;982
commons-text;delegated+implicit;278;60;111;237;3069;989
commons-text;residual-implicit+delegated;172;97;270;219;3009;943
commons-text;delegated+residual-implicit;176;100;270;237;3040;955
java-string-similarity;original;15;0;0;5;85;26
java-string-similarity;implicit;13;5;4;5;68;9
java-string-similarity;residual-implicit;12;5;4;5;68;9
java-string-similarity;delegated;15;0;0;5;85;26
java-string-similarity;implicit+delegated;13;5;4;5;68;9
java-string-similarity;delegated+implicit;13;5;4;5;68;9
java-string-similarity;residual-implicit+delegated;12;5;4;5;68;9
java-string-similarity;delegated+residual-implicit;12;5;4;5;68;9
javaparser;original;519;81;426;729;15312;7528
javaparser;implicit;1865;305;662;729;15252;7360
javaparser;residual-implicit;636;238;839;729;14749;6888
javaparser;delegated;518;80;424;996;14812;6765
javaparser;implicit+delegated;1865;305;662;966;14613;6484
javaparser;delegated+implicit;1751;276;546;996;14864;6754
javaparser;residual-implicit+delegated;636;238;839;944;14365;6289
javaparser;delegated+residual-implicit;632;234;786;996;14426;6313
jfreechart;original;350;23;125;189;8563;4145
jfreechart;implicit;967;346;599;189;7107;2553
jfreechart;residual-implicit;575;354;661;189;6980;2443
