pair;w;p_holm;median_difference;q1_difference;q3_difference;median_percentage;q1_percentage;q3_percentage;increased;decreased;unchanged
implicit vs residual-implicit;0.000;0.002545;-20.00;-144.5;-4.750;-3.388;-5.700;-0.6399;0;18;4
implicit vs delegated;105.0;0.9703;-8.000;-50.25;24.50;-1.446;-8.144;10.05;8;14;0
implicit vs implicit+delegated;0.000;0.001678;-100.5;-220.0;-28.25;-10.17;-11.98;-5.825;0;20;2
implicit vs delegated+implicit;0.000;0.001678;-88.50;-124.8;-28.25;-8.852;-11.31;-4.335;0;20;2
implicit vs residual-implicit+delegated;0.000;0.001251;-105.0;-318.8;-33.25;-13.34;-17.56;-8.813;0;21;1
implicit vs delegated+residual-implicit;0.000;0.001251;-103.5;-271.8;-35.00;-11.30;-16.40;-8.607;0;21;1
residual-implicit vs delegated;103.5;0.9703;-0.5000;-28.50;150.3;-0.1106;-4.909;14.73;10;11;1
residual-implicit vs implicit+delegated;12.50;0.003432;-39.00;-120.5;-6.000;-4.744;-9.698;-0.9800;3;18;1
residual-implicit vs delegated+implicit;45.50;0.08979;-28.50;-85.50;-0.5000;-3.725;-9.819;-0.1205;5;16;1
residual-implicit vs residual-implicit+delegated;0.000;0.001678;-97.00;-195.0;-25.00;-9.413;-11.61;-5.857;0;20;2
residual-implicit vs delegated+residual-implicit;0.000;0.001678;-59.00;-125.3;-27.75;-8.517;-10.86;-4.633;0;20;2
delegated vs implicit+delegated;46.00;0.1104;-33.50;-279.3;-11.00;-7.850;-17.38;-3.647;3;17;2
delegated vs delegated+implicit;47.00;0.1104;-26.00;-161.8;-9.500;-5.523;-15.80;-0.9149;3;17;2
delegated vs residual-implicit+delegated;0.000;0.001678;-72.50;-473.8;-30.25;-10.54;-20.09;-5.959;0;20;2
delegated vs delegated+residual-implicit;0.000;0.001678;-70.50;-445.5;-30.25;-9.545;-18.71;-5.746;0;20;2
implicit+delegated vs delegated+implicit;22.50;0.09298;2.000;0.000;39.50;0.3827;0.000;1.669;13;3;6
implicit+delegated vs residual-implicit+delegated;0.000;0.002545;-18.50;-114.3;-4.000;-3.148;-3.964;-0.7093;0;18;4
implicit+delegated vs delegated+residual-implicit;13.00;0.02115;-12.00;-46.75;0.000;-1.931;-3.193;0.000;2;15;5
delegated+implicit vs residual-implicit+delegated;8.000;0.004171;-17.00;-169.3;-3.250;-3.384;-6.604;-0.9341;1;18;3
delegated+implicit vs delegated+residual-implicit;1.000;0.002557;-15.50;-101.0;-7.250;-2.905;-4.470;-0.8829;1;17;4
residual-implicit+delegated vs delegated+residual-implicit;15.00;0.04281;2.500;0.000;34.25;0.5621;0.000;1.438;14;2;6
