metric;variant;n;w;p;normal
duplicated_statements;implicit;22;0.8377;0.002071;no
duplicated_statements;residual-implicit;22;0.7751;0.0002090;no
duplicated_statements;delegated;22;0.4931;1.133e-07;no
duplicated_statements;implicit+delegated;22;0.6928;1.587e-05;no
duplicated_statements;delegated+implicit;22;0.6585;6.066e-06;no
duplicated_statements;residual-implicit+delegated;22;0.6525;5.158e-06;no
duplicated_statements;delegated+residual-implicit;22;0.6503;4.855e-06;no
test_classes;implicit;22;0.7733;0.0001970;no
test_classes;residual-implicit;22;0.8562;0.004385;no
test_classes;delegated;22;0.2810;2.098e-09;no
test_classes;implicit+delegated;22;0.7733;0.0001970;no
test_classes;delegated+implicit;22;0.7870;0.0003153;no
test_classes;residual-implicit+delegated;22;0.8562;0.004385;no
test_classes;delegated+residual-implicit;22;0.8298;0.001520;no
setup_methods;implicit;22;0.9015;0.03181;no
setup_methods;residual-implicit;22;0.8601;0.005156;no
setup_methods;delegated;22;0.3333;4.989e-09;no
setup_methods;implicit+delegated;22;0.9015;0.03181;no
setup_methods;delegated+implicit;22;0.8986;0.02785;no
setup_methods;residual-implicit+delegated;22;0.8601;0.005156;no
setup_methods;delegated+residual-implicit;22;0.8404;0.002305;no
attributes;implicit;22;0.5368;2.971e-07;no
attributes;residual-implicit;22;0.8211;0.001091;no
attributes;delegated;22;0.3011;2.870e-09;no
attributes;implicit+delegated;22;0.5368;2.971e-07;no
attributes;delegated+implicit;22;0.4898;1.057e-07;no
attributes;residual-implicit+delegated;22;0.8211;0.001091;no
attributes;delegated+residual-implicit;22;0.8850;0.01508;no
helper_methods;implicit;22;0.2215;1.353e-09;no
helper_methods;residual-implicit;22;0.2215;1.353e-09;no
helper_methods;delegated;22;0.5857;9.336e-07;no
helper_methods;implicit+delegated;22;0.5567;4.691e-07;no
helper_methods;delegated+implicit;22;0.5857;9.336e-07;no
helper_methods;residual-implicit+delegated;22;0.5387;3.098e-07;no
helper_methods;delegated+residual-implicit;22;0.5857;9.336e-07;no
total_statements;implicit;22;0.8195;0.001029;no
total_statements;residual-implicit;22;0.7792;0.0002404;no
total_statements;delegated;22;0.4748;7.692e-08;no
total_statements;implicit+delegated;22;0.7172;3.270e-05;no
total_statements;delegated+implicit;22;0.6753;9.658e-06;no
total_statements;residual-implicit+delegated;22;0.6542;5.394e-06;no
total_statements;delegated+residual-implicit;22;0.6467;4.412e-06;no
