distribuirAvaliadoresPagina;0%;1
distribuirAvaliadoresPagina;10%;1
distribuirAvaliadoresPagina;20%;1
distribuirAvaliadoresPagina;30%;1
distribuirAvaliadoresPagina;40%;1
distribuirAvaliadoresPagina;50%;1
distribuirAvaliadoresPagina;60%;1
distribuirAvaliadoresPagina;70%;1
distribuirAvaliadoresPagina;80%;1
distribuirAvaliadoresPagina;90%;1
distribuirAvaliadoresPagina;100%;1
distribuirAvaliadoresComSucesso;0%;1
distribuirAvaliadoresComSucesso;10%;1
distribuirAvaliadoresComSucesso;20%;1
distribuirAvaliadoresComSucesso;30%;1
distribuirAvaliadoresComSucesso;40%;1
distribuirAvaliadoresComSucesso;50%;0,7142857
distribuirAvaliadoresComSucesso;60%;0,75
distribuirAvaliadoresComSucesso;70%;0,7777778
distribuirAvaliadoresComSucesso;80%;0,8
distribuirAvaliadoresComSucesso;90%;0,8181818
distribuirAvaliadoresComSucesso;100%;0,8333333
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;0%;1
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;10%;1
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;20%;1
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;30%;1
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;40%;1
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;50%;1
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;60%;1
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;70%;1
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;80%;1
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;90%;1
distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;100%;1
distribuirAvaliadoresSemCoordenadorDeArea;0%;1
distribuirAvaliadoresSemCoordenadorDeArea;10%;1
distribuirAvaliadoresSemCoordenadorDeArea;20%;1
distribuirAvaliadoresSemCoordenadorDeArea;30%;1
distribuirAvaliadoresSemCoordenadorDeArea;40%;1
distribuirAvaliadoresSemCoordenadorDeArea;50%;1
distribuirAvaliadoresSemCoordenadorDeArea;60%;1
distribuirAvaliadoresSemCoordenadorDeArea;70%;1
distribuirAvaliadoresSemCoordenadorDeArea;80%;1
distribuirAvaliadoresSemCoordenadorDeArea;90%;1
distribuirAvaliadoresSemCoordenadorDeArea;100%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;0%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;10%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;20%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;30%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;40%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;50%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;60%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;70%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;80%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;90%;1
distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;100%;1
distribuirAvaliadoresSemAvaliadores;0%;1
distribuirAvaliadoresSemAvaliadores;10%;1
distribuirAvaliadoresSemAvaliadores;20%;1
distribuirAvaliadoresSemAvaliadores;30%;1
distribuirAvaliadoresSemAvaliadores;40%;1
distribuirAvaliadoresSemAvaliadores;50%;1
distribuirAvaliadoresSemAvaliadores;60%;1
distribuirAvaliadoresSemAvaliadores;70%;1
distribuirAvaliadoresSemAvaliadores;80%;1
distribuirAvaliadoresSemAvaliadores;90%;1
distribuirAvaliadoresSemAvaliadores;100%;1
distribuirAvaliadoresSemFichaDeAvaliacao;0%;1
distribuirAvaliadoresSemFichaDeAvaliacao;10%;1
distribuirAvaliadoresSemFichaDeAvaliacao;20%;1
distribuirAvaliadoresSemFichaDeAvaliacao;30%;1
distribuirAvaliadoresSemFichaDeAvaliacao;40%;1
distribuirAvaliadoresSemFichaDeAvaliacao;50%;1
distribuirAvaliadoresSemFichaDeAvaliacao;60%;1
distribuirAvaliadoresSemFichaDeAvaliacao;70%;1
distribuirAvaliadoresSemFichaDeAvaliacao;80%;1
distribuirAvaliadoresSemFichaDeAvaliacao;90%;1
distribuirAvaliadoresSemFichaDeAvaliacao;100%;1
distribuirAvaliadoresVerPrimeiraProducao;0%;1
distribuirAvaliadoresVerPrimeiraProducao;10%;1
distribuirAvaliadoresVerPrimeiraProducao;20%;1
distribuirAvaliadoresVerPrimeiraProducao;30%;1
distribuirAvaliadoresVerPrimeiraProducao;40%;1
distribuirAvaliadoresVerPrimeiraProducao;50%;0,7142857
distribuirAvaliadoresVerPrimeiraProducao;60%;0,75
distribuirAvaliadoresVerPrimeiraProducao;70%;0,7777778
distribuirAvaliadoresVerPrimeiraProducao;80%;0,8
distribuirAvaliadoresVerPrimeiraProducao;90%;0,8181818
distribuirAvaliadoresVerPrimeiraProducao;100%;0,8333333
distribuirAvaliadoresVerSegundaProducao;0%;1
distribuirAvaliadoresVerSegundaProducao;10%;1
distribuirAvaliadoresVerSegundaProducao;20%;1
distribuirAvaliadoresVerSegundaProducao;30%;1
distribuirAvaliadoresVerSegundaProducao;40%;1
distribuirAvaliadoresVerSegundaProducao;50%;0,7142857
distribuirAvaliadoresVerSegundaProducao;60%;0,75
distribuirAvaliadoresVerSegundaProducao;70%;0,7777778
distribuirAvaliadoresVerSegundaProducao;80%;0,8
distribuirAvaliadoresVerSegundaProducao;90%;0,8181818
distribuirAvaliadoresVerSegundaProducao;100%;0,8333333
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;0%;1
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;10%;1
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;20%;1
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;30%;1
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;40%;1
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;50%;0,7142857
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;60%;0,75
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;70%;0,7777778
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;80%;0,8
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;90%;0,8181818
distribuirAvaliadoresVerPrimeiraProducaoAtualizada;100%;0,8333333
distribuirAvaliadoresVerSegundaProducaoAtualizada;0%;1
distribuirAvaliadoresVerSegundaProducaoAtualizada;10%;1
distribuirAvaliadoresVerSegundaProducaoAtualizada;20%;1
distribuirAvaliadoresVerSegundaProducaoAtualizada;30%;1
distribuirAvaliadoresVerSegundaProducaoAtualizada;40%;1
distribuirAvaliadoresVerSegundaProducaoAtualizada;50%;0,7142857
distribuirAvaliadoresVerSegundaProducaoAtualizada;60%;0,75
distribuirAvaliadoresVerSegundaProducaoAtualizada;70%;0,7777778
distribuirAvaliadoresVerSegundaProducaoAtualizada;80%;0,8
distribuirAvaliadoresVerSegundaProducaoAtualizada;90%;0,8181818
distribuirAvaliadoresVerSegundaProducaoAtualizada;100%;0,8333333
avaliarAvaliador;0%;1
avaliarAvaliador;10%;1
avaliarAvaliador;20%;1
avaliarAvaliador;30%;1
avaliarAvaliador;40%;1
avaliarAvaliador;50%;1
avaliarAvaliador;60%;1
avaliarAvaliador;70%;1
avaliarAvaliador;80%;1
avaliarAvaliador;90%;1
avaliarAvaliador;100%;1
avaliarCoordenadorDeArea;0%;1
avaliarCoordenadorDeArea;10%;1
avaliarCoordenadorDeArea;20%;1
avaliarCoordenadorDeArea;30%;1
avaliarCoordenadorDeArea;40%;1
avaliarCoordenadorDeArea;50%;1
avaliarCoordenadorDeArea;60%;1
avaliarCoordenadorDeArea;70%;1
avaliarCoordenadorDeArea;80%;1
avaliarCoordenadorDeArea;90%;1
avaliarCoordenadorDeArea;100%;1
cadastrarFichaDeAvaliacaoPagina;0%;1
cadastrarFichaDeAvaliacaoPagina;10%;1
cadastrarFichaDeAvaliacaoPagina;20%;1
cadastrarFichaDeAvaliacaoPagina;30%;1
cadastrarFichaDeAvaliacaoPagina;40%;1
cadastrarFichaDeAvaliacaoPagina;50%;1
cadastrarFichaDeAvaliacaoPagina;60%;1
cadastrarFichaDeAvaliacaoPagina;70%;1
cadastrarFichaDeAvaliacaoPagina;80%;1
cadastrarFichaDeAvaliacaoPagina;90%;1
cadastrarFichaDeAvaliacaoPagina;100%;1
cadastrarFichaDeAvaliacaoComSucesso;0%;1
cadastrarFichaDeAvaliacaoComSucesso;10%;1
cadastrarFichaDeAvaliacaoComSucesso;20%;1
cadastrarFichaDeAvaliacaoComSucesso;30%;1
cadastrarFichaDeAvaliacaoComSucesso;40%;1
cadastrarFichaDeAvaliacaoComSucesso;50%;1
cadastrarFichaDeAvaliacaoComSucesso;60%;1
cadastrarFichaDeAvaliacaoComSucesso;70%;1
cadastrarFichaDeAvaliacaoComSucesso;80%;1
cadastrarFichaDeAvaliacaoComSucesso;90%;1
cadastrarFichaDeAvaliacaoComSucesso;100%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;0%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;10%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;20%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;30%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;40%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;50%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;60%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;70%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;80%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;90%;1
cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;100%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;0%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;10%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;20%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;30%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;40%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;50%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;60%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;70%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;80%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;90%;1
cadastrarFichaDeAvaliacaoDuasVezesComSucesso;100%;1
cadastrarFichaDeAvaliacaoVerFichaDeAvaliacao;0%;1
cadastrarFichaDeAvaliacaoVerFichaDeAvaliacao;10%;1
cadastrarFichaDeAvaliacaoVerFichaDeAvaliacao;20%;1
